sparql, precision, recall, fmeasure, explain, evict, memory
5, 1.0, 0.001066490144160047, 0.0021307079093347047, 0, 973, 97
3, 1.0, 5.884083553986466E-4, 0.0011761246692149367, 0, 946, 100
3, 1.0, 6.98734922035893E-4, 0.0013964940649002242, 0, 965, 109
3, 1.0, 9.929390997352162E-4, 0.001983908299349719, 0, 963, 50
3, 1.0, 5.884083553986466E-4, 0.0011761246692149367, 0, 954, 75
4, 1.0, 5.148573109738158E-4, 0.0010291847386605893, 0, 1061, 40
4, 1.0, 8.458370108855546E-4, 0.0016902443505419807, 0, 1026, 81
3, 1.0, 6.619593998234775E-4, 0.0013230429988974645, 0, 1037, 61
3, 1.0, 5.148573109738158E-4, 0.0010291847386605893, 0, 982, 46
3, 1.0, 8.458370108855546E-4, 0.0016902443505419807, 0, 972, 41
3, 1.0, 7.355104442483084E-4, 0.0014699397324709686, 0, 961, 45
3, 1.0, 0.0011032656663724624, 0.0022040996253030634, 0, 1018, 54
3, 1.0, 0.0012135922330097086, 0.0024242424242424242, 0, 958, 68
3, 0, 0, 0, 0, 1076, 40
5, 1.0, 9.193880553103854E-4, 0.0018370871146709776, 0, 1050, 68
4, 1.0, 7.355104442483084E-4, 0.0014699397324709686, 0, 978, 53
3, 1.0, 6.251838776110621E-4, 0.0012495865338674704, 0, 943, 45
3, 1.0, 9.561635775228008E-4, 0.0019105004041443162, 0, 1047, 43
3, 1.0, 6.251838776110621E-4, 0.0012495865338674704, 0, 980, 50
3, 1.0, 6.251838776110621E-4, 0.0012495865338674704, 0, 964, 64
4, 1.0, 0.0012503677552221243, 0.0024976125762139136, 0, 0, 40
