sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 71, 48
4, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 65, 57
2, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 75, 66
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 0, 59, 76
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 66, 49
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 0, 64, 59
3, 1.0, 1.838776110620771E-4, 3.6768761260433136E-4, 0, 64, 68
3, 1.0, 2.206531332744925E-4, 4.412089124200309E-4, 0, 76, 78
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 65, 50
2, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 62, 60
3, 1.0, 1.4710208884966165E-4, 2.941609060155905E-4, 0, 66, 69
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 69, 43
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 67, 52
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 66, 62
3, 0, 0, 0, 0, 66, 71
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 59, 44
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 61, 54
3, 1.0, 1.1032656663724625E-4, 2.2062879205736347E-4, 0, 69, 63
3, 1.0, 7.355104442483083E-5, 1.470912701331176E-4, 0, 76, 73
2, 0, 0, 0, 0, 60, 46
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 55
