sparql, precision, recall, fmeasure, explain, evict, memory
6, 1.0, 0.001066490144160047, 0.0021307079093347047, 51080, 711, 36
4, 1.0, 9.561635775228008E-4, 0.0019105004041443162, 34533, 702, 41
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 38538, 727, 50
4, 1.0, 0.0010297146219476316, 0.0020573108008817044, 23796, 726, 62
4, 1.0, 0.001066490144160047, 0.0021307079093347047, 26883, 705, 50
4, 1.0, 9.561635775228008E-4, 0.0019105004041443162, 19794, 698, 62
4, 1.0, 9.561635775228008E-4, 0.0019105004041443162, 13017, 710, 64
5, 1.0, 0.0017284495439835246, 0.003450934322111678, 21411, 712, 65
4, 1.0, 0.0016181229773462784, 0.0032310177705977385, 18286, 732, 49
4, 1.0, 0.0016548984995586938, 0.0033043286705584313, 6261, 715, 59
3, 1.0, 0.001581347455133863, 0.0031577014870570958, 15170, 705, 67
3, 1.0, 0.0015445719329214476, 0.003084379819343468, 8069, 704, 39
4, 1.0, 0.00176522506619594, 0.003524229074889868, 9298, 716, 50
5, 1.0, 0.0016916740217711092, 0.003377634187532124, 5279, 696, 63
4, 1.0, 0.0019491026772580171, 0.0038906221325013765, 12044, 706, 43
4, 1.0, 0.002059429243895263, 0.004110393423370522, 15003, 715, 37
4, 1.0, 0.0019858781994704323, 0.003963884606914776, 12670, 703, 66
3, 1.0, 0.0016181229773462784, 0.0032310177705977385, 9933, 685, 40
4, 1.0, 0.0016181229773462784, 0.0032310177705977385, 4202, 696, 53
5, 1.0, 0.0024639599882318327, 0.004915807623170328, 14126, 719, 61
4, 1.0, 0.002390408943807002, 0.004769417030487581, 5522, 0, 61
