sparql, precision, recall, fmeasure, explain, evict, memory
5, 1.0, 0.001066490144160047, 0.0021307079093347047, 0, 1018, 64
3, 1.0, 5.884083553986466E-4, 0.0011761246692149367, 0, 996, 85
3, 1.0, 6.98734922035893E-4, 0.0013964940649002242, 0, 1009, 104
4, 1.0, 9.929390997352162E-4, 0.001983908299349719, 0, 1025, 138
3, 1.0, 6.619593998234775E-4, 0.0013230429988974645, 0, 978, 68
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 0, 956, 85
3, 1.0, 9.929390997352162E-4, 0.001983908299349719, 0, 976, 67
2, 1.0, 6.98734922035893E-4, 0.0013964940649002242, 0, 951, 67
3, 1.0, 5.148573109738158E-4, 0.0010291847386605893, 0, 987, 83
2, 1.0, 6.619593998234775E-4, 0.0013230429988974645, 0, 967, 119
3, 1.0, 6.619593998234775E-4, 0.0013230429988974645, 0, 946, 155
3, 1.0, 0.0010297146219476316, 0.0020573108008817044, 0, 952, 75
3, 1.0, 0.0012135922330097086, 0.0024242424242424242, 0, 987, 122
3, 0, 0, 0, 0, 964, 61
4, 1.0, 3.677552221241542E-4, 7.352400558782443E-4, 0, 968, 117
4, 1.0, 0.001066490144160047, 0.0021307079093347047, 0, 964, 70
2, 1.0, 5.148573109738158E-4, 0.0010291847386605893, 0, 983, 134
2, 1.0, 7.722859664607238E-4, 0.0015433800022048286, 0, 956, 103
3, 1.0, 8.8261253309797E-4, 0.001763668430335097, 0, 972, 81
2, 1.0, 5.516328331862312E-4, 0.00110265740434447, 0, 958, 65
4, 1.0, 0.0011768167107972932, 0.0023508668821627973, 0, 0, 101
