sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 50
3, 0, 0, 0, 0, 45, 51
3, 0, 0, 0, 0, 41, 52
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 43, 54
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 55
3, 0, 0, 0, 0, 42, 56
3, 0, 0, 0, 0, 41, 58
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 42, 59
3, 0, 0, 0, 0, 42, 60
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 43, 61
3, 0, 0, 0, 0, 42, 63
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 43, 64
3, 0, 0, 0, 0, 40, 65
4, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 66
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 68
3, 0, 0, 0, 0, 41, 69
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 40, 70
2, 0, 0, 0, 0, 42, 72
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 41, 73
4, 0, 0, 0, 0, 42, 74
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 75
