sparql, precision, recall, fmeasure, explain, evict, memory
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 19, 44
3, 0, 0, 0, 0, 14, 45
3, 0, 0, 0, 0, 13, 46
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 13, 48
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 11, 49
3, 0, 0, 0, 0, 13, 51
3, 0, 0, 0, 0, 13, 52
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 16, 53
2, 0, 0, 0, 0, 12, 54
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 11, 55
3, 0, 0, 0, 0, 12, 57
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 12, 58
2, 0, 0, 0, 0, 20, 59
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 12, 61
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 11, 62
3, 0, 0, 0, 0, 12, 63
2, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 12, 64
3, 0, 0, 0, 0, 11, 66
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 14, 67
4, 0, 0, 0, 0, 11, 68
3, 1.0, 3.677552221241541E-5, 7.354833964623248E-5, 0, 0, 69
